title,url,view_count,like_count,subscriber_count,published_at
I Made ChatGPT Cry,https://www.youtube.com/watch?v=Hrv4UP3wBRg,490332,37826,3160000,2023-02-28T16:38:00Z
"ChatGPT, 조던 피터슨의 충격적인 경고",https://www.youtube.com/watch?v=ya-fUBldJio,852563,13447,82500,2023-01-05T06:28:12Z
ChatGPT 똑똑하게 쓰기! 이 영상 하나로 충분합니다. 야 너두 할 수 있어!,https://www.youtube.com/watch?v=0n25AF0aF9g,53160,1886,143000,2023-02-20T10:15:00Z
5일만에 가입자 100만명을 찍은 AI챗봇,https://www.youtube.com/watch?v=Ku-I7KVmqdw,1050965,15340,2600000,2023-01-03T11:11:16Z
"ChatGPT의 원리, 쉽게 알려드립니다 (보이저엑스 남세동 대표) [ChatGPT 시리즈 1/3]",https://www.youtube.com/watch?v=6-55fAV90TE,245229,4892,733000,2023-02-07T11:00:03Z
Why OpenAI’s ChatGPT Is Such A Big Deal,https://www.youtube.com/watch?v=pOmpqdlVCoo,1267862,15446,2960000,2023-02-02T17:00:30Z
Did ChatGPT just &quot;design&quot; a sweater? 🤯 #knitting #woolneedleshands #chatgpt,https://www.youtube.com/watch?v=9mn-b8YYvcU,5292,0,37100,2023-02-28T20:07:14Z
"챗GPT, 두 달 만에 사용자 1억명.. 10억도 가능할 듯!",https://www.youtube.com/watch?v=GCHjjQiM3I4,706034,11649,145000,2023-02-06T10:00:07Z
말을 알아듣는 AI가 일처리를 해준다고? 챗GPT 원리/사용법/미래 전망 및 우려 한방에 알아보기,https://www.youtube.com/watch?v=HfyG8QgrkMc,533551,14349,234000,2023-01-03T10:15:08Z
"이제 엑셀에서 ChatGPT를 바로 사용해보세요! | 딱, 3분이면 됩니다 | 무료 서식 제공",https://www.youtube.com/watch?v=e1BWCyVhiBk,243000,7986,917000,2023-02-13T12:45:03Z
